Multiple edges/Parallel edges/Multi-edge	In graph theory, multiple edges/parallel edges/ multi-edge, are two or more edges that are incident to the same two vertices.
NP	A language \(L \subseteq \{0,1\}^{\ast}\) is in NP if there exists a polynomial \(p: \mathbb{N} \rightarrow \mathbb{N}\) and a polynomial time Turing Machine \(M\) such that for every \(x \in \{0,1\}^{\ast},\) \[x \in L \Leftrightarrow \exists u \in \{0,1\}^{p(|x|)} \text{ so that } M(x,u)=1.\]
One-Tape Turing Machine	A one-tape turing machine is defined as a \(7\)-tuple \(M = \langle Q, \Gamma, b, \Sigma, \delta, q_0, F \rangle\) where: \begin{description} \item[\(Q\)] is a finite, non-empty set of states \item[\(\Gamma\)] is a non-empty set of symbols \item[\(b \in \Gamma\)] is a blank symbol \item[\(\Sigma \subseteq \Gamma \setminus \{b\}\)] is the set of input symbols \item[\(\delta :(Q\setminus F) \times \Gamma \rightarrow Q \times \Gamma \times \{L,R\}\)] is a partial function called the transition function \item[\(q_0 \in Q\)] is the initial state\end{description}
Order of a bramble	The order of a bramble is the smallest size of a hitting set, a set of vertices of \(G\) that has a nonempty intersection with each of the subgraphs.
Oracle Turing Machine	An oracle Turing machine \(M\) is a \(TM\) that has a special read-write tape oracle tape and three special states \(q_{query},q_{yes},q_{no}\). In addition to the input there is a language \( O \subseteq \{0,1\}^{\ast}\) used as the oracle for \(M\). Whenever during the  execution \(M\) enters the state \(q_{query}\) the machine moves into the state \(q_{yes}\) if \(q \in O\) and \(q_{no}\) if \( q \not \in O\), where \(q\) denotes the contents of the special oracle tape. Regardless of the choice of \(O\), a membership query to \(O\) counts as a single computational step.
Path	A path is a trail in which all vertices except possibly the first and last are distinct.
Regular Graph	In graph theory, a regular graph is a graph where every vertex has the same degree or valency.
Seperator	Let T\(:=(T,(B_{t})_{t \in V(T)})\) be a tree-decomposition. For an edge \(\{s,t\} \in E(T)\), we call \(B_{s} \cap B_{t}\) the seperator at \(\{s,t\}\).
Set Independence Equivalence	A set is independent if and only if its complement is a vertex cover.
Simple Graph	A simple graph, as opposed to a multigraph, is an undirected graph in which both parallel edges/multiple edges and loops are disallowed. In a simple graph the edges form a set rather than a multiset and each edge is an unordered pair of distinct vertices.
Small Tree-Decomposition	A tree-decomposition \((T,(B_{t})_{t \in V(T)})\) is called small, if \(B_{t} \not \subseteq B_{u}\) for all \(t \neq u \in V(T).\)
String/Word	In formal language theory, a string or word is defined as a finite sequence of symbols .
Symbol/Letter	In formal language theory, the elements of an alphabet are called symbols or letters.
Trail	A trail is a walk in which all edges are distinct.
Tree-Decomposition	A tree-decomposition of a graph \(G\) is a pair T \(:=(T, B_{t})_{t \in V(T)})\) consisting of a tree \(T\) and a family \((B_t)_{t \in V(T)}\) of sets \(B_{t} \subseteq V(G)\), such that: \begin{enumerate} \item for all \(v \in V(G)\) the set \[B^{-1}(v):=\{t \in V(T):v \in B_{t}\}\]is non-empty and incudes a subtree of \(T\) \item for every edge \(e \in E(G)\) there is \(t \in V(T)\) with \(e \subseteq B_{t}\).\end{enumerate}
Tree-Width	The tree-width \(tw(G)\) of \(G\) is defined as the minimal width of any tree-decomposition of \(G\).
Turing Machine computes a function	Let \(f: \{0,1\}^ \ast \rightarrow \{0,1\}^\ast\) and let \(T: \mathbb{N} \rightarrow \mathbb{N}\) be some functions, and let \(M\) be a Turing Machine. We say that \(M\) computes \(f\) if for every \(x \in \{0,1\}^\ast\), whenever \(M\) is initialized to the start configuration on input \(x\), then it halts with \(f(x)\) written on its output tape.
Verifier	A language \(L \subseteq \{0,1\}^{\ast}\) is in NP if there exists a polynomial \(p: \mathbb{N} \rightarrow \mathbb{N}\) and a polynomial time Turing Machine \(M\) called verifier for \(L\) such that for every \(x \in \{0,1\}^{\ast},\) \[x \in L \Leftrightarrow \exists u \in \{0,1\}^{p(|x|)} \text{ so that } M(x,u)=1.\]
Vertex Cover	A vertex cover \(V'\) of an undirected graph \(G = ( V , E )\) is a subset of \(V\) such that \(u v \in E \Rightarrow u \in V' \lor v \in V'\), that is to say it is a set of vertices \(V'\) where every edge has at least one endpoint in the vertex cover \(V’\). Such a set is said to cover the edges of \(G\).
Vertex Cover Number	The vertex cover number \(\tau\) is the size of a minimum vertex cover: \[\tau = |V'|\].
Walk	A walk of length \(k\) in a graph is an alternating sequence of vertices and edges, \(v_{0},e_{0},v_{1},e_{1},v_{2},\ldots ,v_{k-1},e_{k-1},v_{k}\), which begins and ends with vertices. If the graph is undirected, then the endpoints of \(e_{i}\) are \(v_{i}\) and \(v_{i+1}\). If the graph is directed, then \(e_{i}\) is an arc from \(v_{i}\) to \(v_{i+1}\).
Width	The width \(w(\text{T})\) of T is \(w(\text{T}):=\max\{|B_{t}|-1: t \in V(T)\}.\)
